city_name,lat,lon,province,island,timezone,elevation_m,population
"Kota Jambi",-1.61667,103.65,"Jambi","Sumatera","Asia/Jakarta",10,100000
"Kota Sungai Penuh",-2.10896,101.32175,"Jambi","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Ogan Komering Ulu",-4.13333,104.03333,"Sumatera Selatan","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Ogan Komering Ilir",-3.36667,105.36667,"Sumatera Selatan","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Muara Enim",-4.2327,103.6141,"Sumatera Selatan","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Lahat",-3.7864,103.5428,"Sumatera Selatan","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Musi Rawas",-3.08333,103.2,"Sumatera Selatan","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Musi Banyu Asin",-2.41667,103.75,"Sumatera Selatan","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Banyu Asin",-2.88333,104.38306,"Sumatera Selatan","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Ogan Komering Ulu Selatan",-4.65728,104.00659,"Sumatera Selatan","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Ogan Komering Ulu Timur",-3.85679,104.75209,"Sumatera Selatan","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Ogan Ilir",-3.43186,104.62727,"Sumatera Selatan","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Empat Lawang",3.22667,99.09256,"Sumatera Selatan","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Penukal Abab Lematang Ilir",-3.21342,104.08722,"Sumatera Selatan","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Musi Rawas Utara",-2.48533,103.29346,"Sumatera Selatan","Sumatera","Asia/Jakarta",10,100000
"Kota Palembang",-3.0,104.71667,"Sumatera Selatan","Sumatera","Asia/Jakarta",10,100000
"Kota Prabumulih",-3.46202,104.2229,"Sumatera Selatan","Sumatera","Asia/Jakarta",10,100000
"Kota Pagar Alam",-4.13055,103.26822,"Sumatera Selatan","Sumatera","Asia/Jakarta",10,100000
"Kota Lubuk Linggau",-3.29308,102.85503,"Sumatera Selatan","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Bengkulu Selatan",-4.35,103.03333,"Bengkulu","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Rejang Lebong",-3.43333,102.71667,"Bengkulu","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Bengkulu Utara",-3.33333,102.05,"Bengkulu","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Kaur",-4.78179,103.36109,"Bengkulu","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Seluma",-3.96644,102.47429,"Bengkulu","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Mukomuko",-3.07438,101.54766,"Bengkulu","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Lebong",-3.24278,102.3349,"Bengkulu","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Kepahiang",-3.60194,102.56424,"Bengkulu","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Bengkulu Tengah",-3.20679,102.12616,"Bengkulu","Sumatera","Asia/Jakarta",10,100000
"Kota Bengkulu",-3.81667,102.31667,"Bengkulu","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Lampung Barat",-5.14904,104.19309,"Lampung","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Tanggamus",-5.38508,104.62349,"Lampung","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Lampung Selatan",-5.4531,104.9877,"Lampung","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Lampung Timur",-5.10273,105.68003,"Lampung","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Lampung Tengah",-4.86667,105.26667,"Lampung","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Lampung Utara",-4.81667,104.8,"Lampung","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Way Kanan",-4.44705,104.52753,"Lampung","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Tulangbawang",-4.20604,105.57999,"Lampung","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Pesawaran",-5.4298,105.17899,"Lampung","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Pringsewu",-5.42211,104.93454,"Lampung","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Mesuji",-4.0439,105.4013,"Lampung","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Tulang Bawang Barat",-4.43975,105.0444,"Lampung","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Pesisir Barat",-5.19323,103.93976,"Lampung","Sumatera","Asia/Jakarta",10,100000
"Kota Bandar Lampung",-5.41667,105.25,"Lampung","Sumatera","Asia/Jakarta",10,100000
"Kota Metro",-5.11856,105.29949,"Lampung","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Bangka",-1.91667,105.93333,"Kepulauan Bangka Belitung","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Belitung",-2.86667,107.7,"Kepulauan Bangka Belitung","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Bangka Barat",-1.95839,105.53741,"Kepulauan Bangka Belitung","Sumatera","Asia/Jakarta",10,100000
